date,review,title,userName,rating,isEdited,app_name,app_id
2021-10-13 19:17:44,I have a lot of songs downloaded and that’s one of the only reasons I keep it next to I like the radio stations I have. They play good songs. I’ve been having a problem recently where the songs skip in the middle of the song or take up to a minute loading the song after skipping. I’ve contacted Apple support and nothing they suggested helped the problem. I the account holder for my family plan am the only one having this problem. So I can’t really use it which is frustrating because I want to keep the plan for my family but I don’t get to listen on it,Mines a little bugged,I'm annoyed now,4,False,apple-music,1108187390
2021-10-26 02:24:02,"The service is pretty good although it won’t play all songs by a single artist easily. When you ask siri to play songs by a specific artist, it wont play all songs it will just play some of them. Some artists it would play only a few songs even though they have multiple albums. 

The app is also way too focused on albums and not songs. You can’t see what songs you have by a specific artist, only the albums you have. Then to see the songs, you must select an album. This makes it so you can’t see how many songs you have of a specific artist. 

The app is also bad at categorizing songs by multiple artists. The artist should only be listed once in your artists list. the songs by that artist should show all songs, even if there were multiple artists or they were only featured in it. This should be the case even if it has to display a song in multiple different places.

Basically this service should focus on songs and provide easy ways to filter songs by artist. The album should be nothing more then metadata and used to show the album artwork of the currently playing song.",Decent service bad app,Barlosk1,2,False,apple-music,1108187390
2021-09-29 23:28:48,"I don’t like Apple Music that much because whenever I’m playing music ‘different days’ is always playing the same songs and that gets me bored. That’s why most of the times I just cancel my subscription, Like why I don’t get suggestions from the artists I like? From the music I already bought? Why if I setup my Apple Music profile to listen to the artists I choose I keep getting artists that I don’t wants to listen to? That’s why I rather buy the songs I like “even though it is more expensive than paying 10 dollars monthly but I hate when something that I’m paying for it gets me bored. It is the same when listen on my originals HomePods or Apple TV. I’m canceling my subscription again before getting billed",Why my HomePod keep playing the same music?,AirJordanXX2,2,False,apple-music,1108187390
2021-09-30 07:20:41,"I have a very big itunes and cdrip library and before ios 13 i could just tap the artist name from anywhere to get to the artist library, or the album name to get to the album... Now it just redirect me to their apple music page which is useless if you dont have a subscription. Sometimes you cant tap it at all. Also removing artist/playlist/album tabs at the bottom just to make room for apple music stuff is very insidious. You leave no option for people who dont use your AM. You are taking away user friendly features to promote your services. The app since ios13 has been consistently getting more unintuitive and unfriendly to non apple music user and people like me are punished into using an inferior app just because we cant subscribe.",You purposefully made it worse for non Apple Music users,Soldier0928,1,False,apple-music,1108187390
2021-11-12 16:00:10,So i would give ten stars BUT i have had a really nasty glitch. My mom who shares an apple id with me has bought tons of songs…… but randomly songs won’t show up on my phone. it’s really frustrating. and then songs that i had already downloaded DISAPPEARED. some of my fav songs…. gone! my mom was able to get them on her phone but i not on mine. i think that there should be a re-login so that it will sync the apps to have the same music thanks ^^ i’m frustrated but will still give 5 stars because it’s a good app! -liz,Fantastic with some awful glitches,aaæthatnkds,5,False,apple-music,1108187390
2021-09-30 05:00:51,"I love Apple Music, I use it literally everyday! But there’s always something wrong when it comes to the UI. Album covers won’t load, I’ll add a song to my playlist and it won’t actually add it, it’ll sometimes take a second to skip/play/pause songs, etc. The service is great but the UI is lacking the usual quality Apple gives most of its other apps. Like most of these problems have been around for a long time now without ever getting fixed. Once Apple fixes these problems and new ones stop popping up as often as they do I’ll give Apple Music 5 stars.","Great service, less than great UI",Hypronic101,4,False,apple-music,1108187390
2021-11-03 04:47:09,"5 stars once i turned off spatial audio. The audio output on streaming is noticeably of higher quality compared to other music streaming apps, great curation of music and playlists too. The addition of music videos is a nice bonus. Again when i say music sounds better, it’s when dolby atmos/spatial audio is turned off. For the life of me I can’t imagine how Apple thought that was an upgrade. Makes it seem like artists are playing in the same room? More like they’re playing in the next room.",5 stars when spatial audio is turned off,Jerry_Dog,5,False,apple-music,1108187390
2021-10-31 22:40:01,"I enjoy classical music, but I love the music that has been written since about 1975. It goes by many names because it is so disparate. I learn every day of a composer new to me or of a piece that I’ve missed hearing. 

Apple Music has some of this music, I guess, but it is extremely hard to find through the app and its barely sufficient playlists and suggestions. 

I used to have an annual subscription to Primephonic, which Apple Music acquired in the summer of 2021. I had found Primephonic through long search and comparison of similar apps that purported to support new classical music. None compared well to Primephonic. I sorely miss the app. 

As part of the acquisition, Apple Music awarded six months of free use to Primephonic subscribers of record. Apple Music promised to incorporate the Primephonic library and interface. This hasn’t happened as of November 2021. I am very dissatisfied and wish that the developers of Primephonic would make another go at their wonderful app. 

Maybe undiscernibg listeners of other genre, especially popular music, may enjoy Apple Music. I don’t.","Maybe great for popular, but extremely lousy for classical",T. Kohn,2,False,apple-music,1108187390
2021-10-24 02:47:15,"1. App crashes sometimes when I’ve been using it for awhile. 

2. When I turn off Apple TV and transition to playing music on my iPhone the app freezes for a good 5 minutes 

3. (NOTE: I set it up to download music automatically to my phone when added to library AND to add music to my library when I add it to a playlist) … so when I add music to a playlist expecting it to add/download to my library it does two really odd things. It adds a duplicate in the playlist AND is nowhere to be found in my library. It seems to happen intermittently with much older songs.",Some Issues,jre42391,4,False,apple-music,1108187390
2021-09-29 18:35:25,"I like Apple Music when it works. It can be buggy with things like songs stop playing after 15 seconds, or radio stations just skipping through songs. There are some other things I wish they would add, like having a section for radio where you could add stations you like. Having a way to be notified when new hosted radio shows would be nice too. Overall it’s good but it’s missing something extremely important to me.. Apple Music for windows. ITunes is the only app for windows and it’s missing some of the biggest reasons why I subscribe to Apple Music - Lossless and High Res audio quality.",Works well enough. Good features but lacking a huge feature.,LLoose494,3,False,apple-music,1108187390
2021-10-27 10:01:36,This seems like a great service but it has one major flaw that is making me very frustrated and angry right now. If you decide to cancel whether your paying or doing the free trial you will lose every last piece of music you saved and you can’t get it back unless you wrote it down or took pictures otherwise it’ll never be the same if you decide to renew it again after cancelling. If apple fixed this and made it so your songs are permanent I would give it 5 stars otherwise it’s just not worth it and this time if I cancel after the 2nd free trial I’m cancelling for good because I’ve had enough of this stupid nonsense.,Great but very disappointed,Pavs12,3,False,apple-music,1108187390
2021-10-13 13:39:53,"I have been using Apple Music since it was released and it is great! I really like the discovery section and I hope it continues to see improvements 😎

It is kind of annoying that when you are playing an album on shuffle and there is a music video or documentary attached it will just start playing the documentary. This is especially annoying on the Mac when you have music playing in the background because it will open a video window on top of what you are doing. 

If I could just exclude videos on an album that would be nice 🤷‍♂️",Solid music player 🎵🎧,Danwakeem,4,False,apple-music,1108187390
